claim_id	claim_text	evidence_path	sha256	measured_revision	verdict	existing_task	successor_task
readme-fleet-loop	README says the specialist fleet loop works with a shared 360M base and two LoRA adapters	docs/full-reaudit-20260907.md	77987875643efd905d95bad19b2589e44c5f9398c77ae31c6f72f2fa1e9557c3	38c8c3e6074048263208a92f3eee219e7d326854	historical-unreproduced	tinyfleet-specialists	tinyfleet-publication-science-20260908/preregister-fleet-study
readme-specialist-ppl	README reports guitar/sourdough held-out perplexities 18.2/19.4 base, 11.5/15.5 guitar, 13.8/12.2 sourdough	docs/full-reaudit-20260907.md	77987875643efd905d95bad19b2589e44c5f9398c77ae31c6f72f2fa1e9557c3	38c8c3e6074048263208a92f3eee219e7d326854	historical-unreproduced	tinyfleet-specialists	tinyfleet-publication-science-20260908/run-paired-replications
readme-router	README reports 24/24 held-out routing, mean margin 0.42, and abstain threshold 0.10	docs/review-verification-20260908.md	8e42ab3168d5938ca50c5b2b0360ab8aa82907f0fd8fabd2d55071a07e4de2c8	62ba7282505eb447486b9a18468cce72457171ce	verified-bounded	tinyfleet-specialists	tinyfleet-publication-science-20260908/run-paired-replications
readme-benchmark	README reports offline benchmark 24/24 with 14/14 adversarial, 4/4 routing, 2/2 weights, and 4/4 safety decisions	docs/review-verification-20260908.md	8e42ab3168d5938ca50c5b2b0360ab8aa82907f0fd8fabd2d55071a07e4de2c8	62ba7282505eb447486b9a18468cce72457171ce	verified-bounded	tinyfleet-reaudit-20260907	tinyfleet-publication-science-20260908/verify-reconcile-evidence
readme-operator	README reports operator policy 41/41 held-out, 14/14 adversarial, and 8/8 structured decisions	docs/review-verification-20260908.md	8e42ab3168d5938ca50c5b2b0360ab8aa82907f0fd8fabd2d55071a07e4de2c8	62ba7282505eb447486b9a18468cce72457171ce	verified-bounded	tinyfleet-reaudit-20260907	tinyfleet-publication-science-20260908/operator-policy-robustness
readme-operator-safety	README implies safety-critical categories always block and unknown inputs abstain	docs/tiny-fleet-reaudit-20260907-haunt.md	76cdf99922c3f5d93108b51d175c5c843f8cb0eb66b17c04105134041375bea5	811bd8d	historical-unreproduced	tinyfleet-specialists	tinyfleet-publication-science-20260908/operator-policy-robustness
readme-zero-latency	README claims zero GPU and zero latency for the JSON policy model	docs/publication-review-20260908.md	67c4c9df6fcc8c0a83308b54e4663943d6aa1839d79ebe34f09e05baeec3fbe0	875bb93115916404f29061e0ec2ae9a7fefeea0d	not-tested	tinyfleet-publishable-closeout-20260907/publishable-repository-closeout	tinyfleet-publication-science-20260908/clean-clone-reproduction
readme-drift-headlines	README claims 22x size, 231x vocabulary, 94x/458x/303x concept multipliers and a theory of itself	docs/architectural-drift-baseline-audit-2026-09-06.md	b75bd65f24f62b2a5c86123fbf1a38c7ca5d93c427dba6427377f7a977c09e5c	4e87f2e	historical-unreproduced	tinyfleet-architecture-drift-review-20260907/run-cross-repository-analysis	tinyfleet-drift-science-20260908/lexical-drift-controls
readme-drift-cosines	README reports 0.495/0.505 and 0.800/0.200 cosine/drift scores and 0.168 divergence	docs/architectural-drift-baseline-audit-2026-09-06.md	b75bd65f24f62b2a5c86123fbf1a38c7ca5d93c427dba6427377f7a977c09e5c	4e87f2e	blocked	tinyfleet-architecture-drift-review-20260907/run-cross-repository-analysis	tinyfleet-drift-science-20260908/generative-drift-runner
readme-structural-growth	README reports 232/1439 files, 1.3/29.5 MB, vocabulary 11011/88724, and mesh references 3189/30326	docs/architectural-drift-baseline-audit-2026-09-06.md	b75bd65f24f62b2a5c86123fbf1a38c7ca5d93c427dba6427377f7a977c09e5c	4e87f2e	failed-control	tinyfleet-architecture-drift-review-20260907/run-cross-repository-analysis	tinyfleet-drift-science-20260908/lexical-drift-controls
